,Drug1_ID,Drug2_ID,Y,Neg samples
0,DB01275,DB00797,66,DB00819$h
1,DB09072,DB00972,53,DB01117$h
2,DB01370,DB01098,8,DB00390$h
3,DB01026,DB01149,5,DB00821$h
4,DB08881,DB04842,31,DB00671$h
5,DB01161,DB00349,25,DB01157$t
6,DB00613,DB05630,8,DB00634$h
7,DB00834,DB01240,9,DB00524$t
8,DB00334,DB00967,25,DB00773$h
9,DB00681,DB01578,20,DB00585$h
10,DB09078,DB00308,75,DB00957$h
11,DB00230,DB00508,13,DB00637$h
12,DB01041,DB00921,53,DB01332$t
13,DB00392,DB00899,25,DB06709$t
14,DB00784,DB01077,25,DB06792$t
15,DB01236,DB00489,75,DB00673$t
16,DB00862,DB06712,46,DB00698$h
17,DB00250,DB00679,9,DB01028$h
18,DB01367,DB00491,63,DB06274$t
19,DB04951,DB01222,25,DB09027$t
20,DB01197,DB09215,25,DB00883$t
21,DB01245,DB01116,12,DB00195$h
22,DB00462,DB00232,9,DB09118$h
23,DB00268,DB00724,5,DB00417$t
24,DB00421,DB01029,25,DB01113$h
25,DB00996,DB00801,25,DB08883$h
26,DB01167,DB00281,5,DB00666$h
27,DB00343,DB04930,5,DB01283$h
28,DB09039,DB00567,5,DB00909$h
29,DB09065,DB09076,9,DB00234$t
30,DB01021,DB06694,66,DB09273$h
31,DB01236,DB00207,75,DB00811$h
32,DB00660,DB01041,53,DB01157$t
33,DB00179,DB00421,34,DB01095$t
34,DB00542,DB08880,25,DB01622$t
35,DB01211,DB00234,5,DB09273$h
36,DB00199,DB00499,5,DB01094$h
37,DB01182,DB06402,75,DB09018$h
38,DB00892,DB06770,25,DB00191$t
39,DB08912,DB01409,8,DB09074$h
40,DB00337,DB06739,25,DB09167$t
41,DB01320,DB00339,6,DB01106$h
42,DB00224,DB09068,5,DB01243$t
43,DB01320,DB01224,8,DB00232$t
44,DB01021,DB00765,66,DB00833$t
45,DB08933,DB00468,9,DB01135$h
46,DB00628,DB00892,25,DB00496$h
47,DB01211,DB01110,5,DB01108$t
48,DB06204,DB08922,53,DB06150$t
49,DB00246,DB00268,77,DB06802$t
50,DB09120,DB00339,5,DB00377$h
51,DB00753,DB01587,25,DB12924$t
52,DB00468,DB01158,66,DB01367$t
53,DB00997,DB01337,76,DB09075$t
54,DB09330,DB00553,9,DB08872$h
55,DB01167,DB08865,9,DB09125$h
56,DB09323,DB01177,8,DB09039$t
57,DB01193,DB09477,66,DB00193$h
58,DB00408,DB00633,25,DB00943$h
59,DB04878,DB00280,63,DB01211$t
60,DB00985,DB01041,53,DB00740$t
61,DB00320,DB00897,5,DB00799$h
62,DB01026,DB00980,9,DB01400$h
63,DB09289,DB00964,34,DB01110$h
64,DB06716,DB00241,25,DB06212$h
65,DB00899,DB01356,25,DB06145$t
66,DB00897,DB08910,25,DB00552$t
67,DB01167,DB00653,25,DB00673$h
68,DB00996,DB01615,25,DB06292$h
69,DB00794,DB00530,8,DB00969$h
70,DB00991,DB04861,34,DB00696$t
71,DB00203,DB04908,25,DB09278$h
72,DB00254,DB00332,5,DB00807$t
73,DB01215,DB00715,25,DB00221$h
74,DB00622,DB01098,5,DB09516$h
75,DB00704,DB00647,12,DB08800$t
76,DB00726,DB01195,75,DB08869$t
77,DB00697,DB00335,50,DB00708$h
78,DB00590,DB01021,66,DB00224$h
79,DB00653,DB01041,53,DB08957$t
80,DB06695,DB06287,25,DB08819$h
81,DB01161,DB09286,25,DB00434$h
82,DB00540,DB00218,75,DB08895$h
83,DB01026,DB00195,5,DB00982$h
84,DB00726,DB00204,75,DB00945$h
85,DB00897,DB00904,25,DB05265$h
86,DB00327,DB01395,25,DB00680$h
87,DB09275,DB00487,0,DB01097$h
88,DB00678,DB00321,5,DB00504$h
89,DB00932,DB00404,9,DB00467$h
90,DB01023,DB00758,12,DB00654$h
91,DB01023,DB00252,9,DB00953$h
92,DB00366,DB01041,53,DB01211$h
93,DB01009,DB00685,71,DB09291$t
94,DB00521,DB00734,66,DB02638$h
95,DB00247,DB09074,25,DB00443$h
96,DB02703,DB01167,9,DB06147$h
97,DB00472,DB09570,5,DB00517$h
98,DB00363,DB01098,9,DB00380$h
99,DB01186,DB00647,25,DB00397$t
100,DB09065,DB06203,9,DB04871$h
101,DB04574,DB06710,57,DB00711$t
102,DB00206,DB00656,25,DB00315$h
103,DB00327,DB00647,25,DB00615$t
104,DB08912,DB00571,8,DB09210$t
105,DB01377,DB00253,3,DB00854$h
106,DB01214,DB01085,25,DB00829$h
107,DB09280,DB01708,6,DB00798$h
108,DB00695,DB04878,12,DB09049$h
109,DB01233,DB00268,12,DB00849$t
110,DB09072,DB00802,53,DB01142$h
111,DB01399,DB08970,25,DB08826$t
112,DB08912,DB00914,12,DB00949$h
113,DB00936,DB06203,63,DB06209$t
114,DB01210,DB04861,25,DB05676$h
115,DB06712,DB06616,9,DB00981$h
116,DB01614,DB00598,66,DB00872$t
117,DB00656,DB01235,25,DB00631$h
118,DB01215,DB09345,25,DB09297$t
119,DB00313,DB00312,9,DB00795$h
120,DB00208,DB00869,5,DB09120$t
121,DB00958,DB01320,8,DB00865$t
122,DB01240,DB09030,47,DB13139$t
123,DB01167,DB09231,25,DB00455$t
124,DB09236,DB00975,25,DB00657$t
125,DB01137,DB00175,9,DB01205$h
126,DB08807,DB00871,36,DB01043$h
127,DB00873,DB08804,57,DB06282$t
128,DB00622,DB00656,5,DB00233$h
129,DB04552,DB04574,25,DB00309$t
130,DB00255,DB00266,33,DB01367$t
131,DB00199,DB06335,9,DB01236$t
132,DB00482,DB01395,60,DB01274$h
133,DB00876,DB09477,25,DB00163$t
134,DB00486,DB00527,53,DB01289$t
135,DB09078,DB01169,75,DB01324$h
136,DB01264,DB00184,9,DB00136$t
137,DB04794,DB09227,25,DB00949$t
138,DB00936,DB00270,25,DB00497$t
139,DB00611,DB01395,25,DB09555$t
140,DB00991,DB00287,12,DB00584$t
141,DB00647,DB04842,25,DB06202$t
142,DB00623,DB00647,25,DB01418$t
143,DB01167,DB04845,9,DB00546$h
144,DB00933,DB01173,53,DB01273$h
145,DB09074,DB01424,5,DB00537$t
146,DB00749,DB00399,25,DB08799$h
147,DB09330,DB00682,9,DB01611$h
148,DB01595,DB00933,25,DB05990$h
149,DB00224,DB06217,5,DB06401$h
150,DB00246,DB01006,5,DB00134$h
151,DB09054,DB00745,5,DB09082$h
152,DB00605,DB09204,34,DB01066$t
153,DB09220,DB01210,66,DB00723$t
154,DB09281,DB01066,8,DB11574$h
155,DB00231,DB00425,53,DB09290$t
156,DB00422,DB01054,34,DB00264$t
157,DB01409,DB00497,25,DB01115$h
158,DB08865,DB00231,5,DB00393$h
159,DB06711,DB00598,50,DB01420$h
160,DB06290,DB00497,25,DB08860$t
161,DB00408,DB00690,25,DB01228$h
162,DB00586,DB01275,34,DB06212$h
163,DB00486,DB00727,25,DB00581$h
164,DB09063,DB00757,9,DB09041$t
165,DB00620,DB09220,25,DB00205$h
166,DB00523,DB00255,12,DB12161$t
