,Drug1_ID,Drug2_ID,Y,Neg samples
0,DB00177,DB01193,25,DB01298$t
1,DB09167,DB00682,5,DB00675$t
2,DB02703,DB06203,9,DB00035$t
3,DB00976,DB00864,9,DB01589$t
4,DB00875,DB00898,53,DB11315$h
5,DB01254,DB00270,9,DB01581$t
6,DB00745,DB00672,5,DB00801$h
7,DB00300,DB00758,5,DB00827$t
8,DB01247,DB01136,66,DB00303$t
9,DB00206,DB06589,9,DB01132$h
10,DB00398,DB01166,9,DB01030$h
11,DB00263,DB06791,63,DB00673$h
12,DB00188,DB00395,5,DB00955$t
13,DB00918,DB06144,25,DB01226$h
14,DB01081,DB00972,53,DB00408$t
15,DB00268,DB00489,50,DB00240$t
16,DB00961,DB01086,25,DB04743$t
17,DB01002,DB09117,53,DB11737$h
18,DB00528,DB00774,66,DB01431$h
19,DB00091,DB06155,5,DB00284$h
20,DB01060,DB01177,8,DB01062$h
21,DB00270,DB01195,75,DB00923$t
22,DB01452,DB00765,77,DB00390$t
23,DB01242,DB00185,5,DB01202$t
24,DB01621,DB09117,53,DB11235$t
25,DB00458,DB08907,25,DB00853$t
26,DB06441,DB00682,45,DB00865$h
27,DB00214,DB00839,12,DB00987$h
28,DB00835,DB01018,25,DB00193$t
29,DB01162,DB08957,41,DB01582$h
30,DB00203,DB00374,46,DB00559$h
31,DB06702,DB01433,25,DB00754$t
32,DB01119,DB04840,66,DB08869$h
33,DB09146,DB09138,8,DB00683$h
34,DB00939,DB00310,12,DB09083$t
35,DB00983,DB01184,75,DB09094$t
36,DB00215,DB00435,5,DB11135$h
37,DB00870,DB00720,25,DB09324$h
38,DB00458,DB00335,25,DB01614$t
39,DB00292,DB00268,77,DB13142$t
40,DB01238,DB01193,66,DB01175$t
41,DB00599,DB00807,25,DB01433$h
42,DB00866,DB06207,73,DB00493$t
43,DB09212,DB00232,12,DB00182$t
44,DB00661,DB01250,45,DB00569$t
45,DB00427,DB08910,25,DB00468$h
46,DB00861,DB00443,25,DB00747$t
47,DB00468,DB00584,66,DB00871$t
48,DB00639,DB00490,5,DB00186$h
49,DB01259,DB00814,5,DB00679$h
50,DB00489,DB00999,25,DB09020$h
51,DB09300,DB01192,25,DB00631$h
52,DB00287,DB01136,66,DB00921$t
53,DB00501,DB06292,5,DB01431$h
54,DB01151,DB01622,25,DB01466$h
55,DB00908,DB06217,5,DB06626$h
56,DB09218,DB13158,25,DB02187$h
57,DB09244,DB09082,25,DB00277$h
58,DB00925,DB04846,66,DB06711$t
59,DB11315,DB08897,44,DB00624$h
60,DB00360,DB00820,66,DB00691$t
61,DB00454,DB00753,25,DB01333$h
62,DB01174,DB09095,8,DB01219$h
63,DB04868,DB00701,5,DB09119$h
64,DB00503,DB00615,10,DB01083$t
65,DB01072,DB00458,5,DB00614$h
66,DB06595,DB01235,5,DB00310$t
67,DB06148,DB00349,12,DB06718$t
68,DB01189,DB01351,25,DB00802$t
69,DB00344,DB06207,9,DB01295$t
70,DB00870,DB01410,25,DB01579$t
71,DB13179,DB00872,9,DB00177$t
72,DB00502,DB01002,25,DB00774$t
73,DB01136,DB08907,25,DB06691$t
74,DB00208,DB00682,5,DB01099$h
75,DB04572,DB00751,5,DB06243$h
76,DB09009,DB04844,25,DB01078$t
77,DB01319,DB09167,9,DB00635$h
78,DB00477,DB00737,25,DB06218$h
79,DB00220,DB00278,5,DB00975$t
80,DB01189,DB00956,53,DB02187$t
81,DB00559,DB06694,66,DB00959$t
82,DB01174,DB00873,8,DB06202$h
83,DB00529,DB01165,75,DB01282$h
84,DB00750,DB01178,25,DB00411$h
85,DB08899,DB00956,8,DB00263$h
86,DB01186,DB00898,25,DB00649$t
87,DB00188,DB01221,5,DB00722$h
88,DB01259,DB00261,75,DB00185$t
89,DB01092,DB06825,16,DB12598$h
90,DB00582,DB00619,9,DB13179$t
91,DB01224,DB04841,25,DB00191$h
92,DB00333,DB00875,25,DB01166$t
93,DB00188,DB00924,5,DB11828$h
94,DB01221,DB01615,25,DB11106$h
95,DB01357,DB09095,9,DB00446$h
96,DB01319,DB01008,5,DB00279$t
97,DB00648,DB08439,8,DB13142$h
98,DB09080,DB00436,64,DB08958$t
99,DB00921,DB09244,25,DB00541$t
100,DB00575,DB00703,25,DB01592$t
101,DB01685,DB01142,5,DB03585$h
102,DB13179,DB00243,9,DB09071$h
103,DB01260,DB00951,8,DB00956$h
104,DB00780,DB00572,61,DB01170$h
105,DB06263,DB00657,72,DB01327$h
106,DB00619,DB00911,5,DB06786$t
107,DB01045,DB00175,6,DB09561$h
108,DB01575,DB08930,8,DB01202$h
109,DB01348,DB00890,8,DB00502$h
110,DB00169,DB00264,9,DB01168$h
111,DB00351,DB08907,12,DB00551$t
112,DB09288,DB00695,37,DB00220$t
113,DB00652,DB09085,25,DB01190$h
114,DB01260,DB08909,12,DB00648$t
115,DB00176,DB01020,5,DB01073$h
116,DB00280,DB01067,63,DB01563$t
117,DB06203,DB00705,8,DB09198$h
118,DB01097,DB00470,9,DB00672$t
119,DB09292,DB00232,25,DB00801$h
120,DB09009,DB09038,12,DB01143$h
121,DB00091,DB01095,9,DB00986$t
122,DB01254,DB08828,9,DB09342$t
123,DB00313,DB01501,25,DB00910$t
124,DB00951,DB00531,5,DB01206$h
125,DB09063,DB01114,9,DB01390$t
126,DB00217,DB00264,50,DB01604$t
127,DB00705,DB09053,9,DB00743$t
128,DB01069,DB01592,0,DB00248$h
129,DB01059,DB00277,5,DB09048$h
130,DB01370,DB00951,0,DB00601$h
131,DB01174,DB00636,6,DB09297$h
132,DB01433,DB01545,25,DB01403$h
133,DB00503,DB01087,75,DB00349$h
134,DB00268,DB01115,5,DB00730$h
135,DB09167,DB06769,9,DB00710$t
136,DB00320,DB05109,5,DB00823$h
137,DB00619,DB04930,5,DB06412$h
138,DB01149,DB04572,5,DB01173$h
139,DB00213,DB06697,5,DB00742$h
140,DB01370,DB01615,0,DB00259$h
141,DB00368,DB01366,25,DB01015$h
142,DB00196,DB00909,5,DB00541$h
143,DB01174,DB01198,6,DB04842$h
144,DB00196,DB08903,75,DB00969$h
145,DB00614,DB00880,66,DB00493$t
146,DB00673,DB06016,9,DB00882$h
147,DB06717,DB08896,9,DB01283$t
148,DB01600,DB06781,25,DB00594$t
149,DB00989,DB08897,12,DB02659$t
150,DB00203,DB01396,5,DB04951$h
151,DB01062,DB01116,25,DB11156$h
152,DB00283,DB09396,5,DB00545$h
153,DB08906,DB09220,25,DB00879$h
154,DB00485,DB01082,8,DB06826$h
155,DB00619,DB00333,5,DB00252$h
156,DB00829,DB00458,25,DB09231$h
157,DB01201,DB00349,6,DB00594$h
158,DB00350,DB08907,25,DB06203$h
159,DB01601,DB00682,8,DB00212$h
160,DB01227,DB00765,77,DB00674$t
161,DB01224,DB09068,25,DB00925$h
162,DB00238,DB00451,6,DB06689$h
163,DB11609,DB00742,25,DB00346$h
164,DB00215,DB01131,5,DB00233$t
165,DB01065,DB01176,25,DB09130$h
166,DB00350,DB00393,25,DB09020$h
167,DB01403,DB01184,75,DB00755$t
168,DB01118,DB00904,5,DB04845$h
169,DB06290,DB00890,8,DB00605$h
170,DB00193,DB00298,25,DB00773$h
171,DB00443,DB00284,12,DB01267$t
172,DB06595,DB00482,5,DB00847$h
173,DB01609,DB01094,9,DB00268$t
174,DB08868,DB00207,75,DB00560$t
175,DB01392,DB04861,34,DB00547$h
176,DB01180,DB00586,25,DB00856$h
177,DB08887,DB00244,25,DB00807$h
178,DB06261,DB00460,74,DB00834$t
179,DB00176,DB01254,5,DB08967$t
180,DB00328,DB00873,25,DB00771$h
181,DB00554,DB13167,25,DB01058$h
182,DB00313,DB00186,9,DB00798$h
183,DB05812,DB01097,9,DB00621$t
184,DB01325,DB00437,24,DB06616$t
185,DB00959,DB01132,12,DB00268$t
186,DB09048,DB00759,9,DB05316$t
187,DB00177,DB00325,25,DB00866$t
188,DB00692,DB01054,66,DB00669$h
189,DB01032,DB00465,9,DB00862$t
190,DB01081,DB01028,25,DB00545$t
191,DB00794,DB00850,6,DB00546$h
192,DB00997,DB00321,5,DB01082$h
193,DB13783,DB00722,12,DB00673$h
194,DB00496,DB01577,5,DB06725$h
195,DB03754,DB00492,8,DB00838$h
196,DB00176,DB00822,5,DB06767$h
197,DB03754,DB01208,0,DB09099$h
198,DB01229,DB11793,25,DB01019$t
199,DB06636,DB01200,5,DB00394$t
200,DB00945,DB13167,25,DB00648$h
201,DB00356,DB00985,25,DB04794$t
202,DB01009,DB00006,45,DB08941$t
203,DB00346,DB00871,41,DB00285$h
204,DB00298,DB00961,25,DB11560$t
205,DB00297,DB00177,25,DB01119$t
206,DB00220,DB01241,5,DB09048$h
207,DB00623,DB00909,25,DB00126$t
208,DB05219,DB00313,5,DB06684$h
209,DB00586,DB01325,12,DB00134$t
210,DB00794,DB00451,6,DB01424$h
211,DB01087,DB00623,9,DB04743$h
212,DB00975,DB00571,51,DB00770$h
213,DB00788,DB00695,37,DB01000$t
214,DB11079,DB08994,25,DB09076$h
215,DB00285,DB00541,9,DB00924$h
216,DB01174,DB00872,6,DB00180$h
217,DB00939,DB00232,12,DB09262$h
218,DB11348,DB09414,0,DB01414$t
219,DB01208,DB00277,5,DB06782$h
220,DB01351,DB00921,53,DB06441$t
221,DB09345,DB00181,25,DB00651$h
222,DB00196,DB00281,5,DB00873$h
223,DB01577,DB00373,50,DB13595$h
224,DB00768,DB00686,45,DB00572$h
225,DB00794,DB00295,6,DB01551$h
226,DB00203,DB00606,46,DB00585$h
227,DB00582,DB01008,9,DB00423$h
228,DB00736,DB06414,5,DB01330$h
229,DB00589,DB00877,25,DB00915$h
230,DB06605,DB00683,9,DB00166$t
231,DB00318,DB01580,25,DB11126$t
232,DB05521,DB01409,5,DB04918$h
233,DB09118,DB00622,9,DB00035$h
234,DB01095,DB01238,8,DB00673$h
235,DB01200,DB09286,25,DB11156$h
236,DB00738,DB00539,75,DB01604$t
237,DB00865,DB01364,25,DB06145$h
238,DB00808,DB00258,14,DB09295$h
239,DB00404,DB08815,25,DB01156$h
240,DB01208,DB09038,63,DB00626$t
241,DB00696,DB00610,61,DB01022$h
242,DB00796,DB01030,9,DB00682$h
243,DB00706,DB08822,25,DB00247$h
244,DB07615,DB11079,25,DB09063$h
245,DB01229,DB02659,14,DB09274$h
246,DB01009,DB11660,12,DB01250$t
247,DB00645,DB01002,25,DB00796$h
248,DB01588,DB00625,25,DB01082$h
249,DB00324,DB00545,25,DB09414$h
250,DB00605,DB01399,25,DB09119$t
251,DB01171,DB01463,25,DB00570$t
252,DB00804,DB00808,9,DB00584$h
253,DB01452,DB06700,78,DB00602$t
254,DB00584,DB00554,25,DB01058$h
255,DB00670,DB00333,53,DB12278$h
256,DB00461,DB00487,71,DB00820$t
257,DB00834,DB00736,9,DB00163$t
258,DB08938,DB00244,12,DB08957$t
259,DB05219,DB00850,5,DB00442$h
260,DB01267,DB01080,25,DB00219$t
261,DB00379,DB00370,5,DB09211$t
262,DB00228,DB11609,25,DB00883$h
263,DB06148,DB00852,12,DB09561$t
264,DB00631,DB01018,25,DB13025$t
265,DB00363,DB01618,25,DB00613$t
266,DB01028,DB00872,9,DB09223$h
267,DB05812,DB04920,9,DB01221$h
268,DB00502,DB00836,5,DB00952$h
269,DB00176,DB00969,5,DB01614$h
270,DB00490,DB09342,25,DB09389$t
271,DB00450,DB01235,53,DB00122$t
272,DB00285,DB01100,9,DB08903$t
273,DB00679,DB01174,25,DB00377$h
274,DB00450,DB01195,75,DB00653$h
275,DB01032,DB01414,9,DB05294$t
276,DB00661,DB00567,5,DB09038$h
277,DB00797,DB01115,25,DB00808$t
278,DB01580,DB08931,66,DB00853$t
279,DB06282,DB00921,53,DB00653$t
280,DB09167,DB00668,34,DB11730$t
281,DB01076,DB00390,9,DB01169$h
282,DB00648,DB00321,8,DB00236$h
283,DB04868,DB00872,9,DB01175$t
284,DB09321,DB08930,8,DB00909$h
285,DB08987,DB01106,25,DB00280$h
286,DB00273,DB00347,5,DB06725$h
287,DB02703,DB00091,9,DB00649$t
288,DB01201,DB00321,6,DB00204$h
289,DB00668,DB01366,25,DB06209$h
290,DB00834,DB00904,75,DB00561$h
291,DB00243,DB00592,5,DB00569$h
292,DB00353,DB00908,25,DB01612$t
293,DB08865,DB01223,5,DB06702$h
294,DB01151,DB00738,75,DB00979$t
295,DB01174,DB00866,8,DB01576$t
296,DB01403,DB00468,75,DB06825$t
297,DB06684,DB06016,25,DB00909$t
298,DB00502,DB00652,25,DB01219$h
299,DB01151,DB09000,25,DB00584$h
300,DB00865,DB01246,39,DB01235$h
301,DB00182,DB01466,43,DB01260$h
302,DB06788,DB06216,75,DB00318$t
303,DB06700,DB00610,80,DB01119$t
304,DB01118,DB01104,5,DB06262$t
305,DB00807,DB00425,53,DB01103$t
306,DB00631,DB00187,25,DB00264$h
307,DB00985,DB05271,77,DB00179$t
308,DB00838,DB00999,64,DB08906$t
309,DB01156,DB06148,5,DB13879$t
310,DB00904,DB00489,75,DB00339$t
311,DB00014,DB08882,12,DB01130$h
312,DB00699,DB01559,25,DB00244$t
313,DB04846,DB08868,51,DB06228$h
314,DB00589,DB00882,25,DB00856$t
315,DB00418,DB00679,25,DB00810$h
316,DB09291,DB00631,9,DB00215$t
317,DB09119,DB00818,5,DB00694$h
318,DB00300,DB00564,5,DB00257$t
319,DB00358,DB00571,51,DB06626$t
320,DB00350,DB09026,25,DB00857$t
321,DB09063,DB06176,9,DB00576$t
322,DB01601,DB00276,5,DB01004$h
323,DB09282,DB00374,66,DB00266$t
324,DB00207,DB06603,75,DB00688$h
325,DB00999,DB01170,66,DB01581$h
326,DB01628,DB00385,14,DB09396$h
327,DB00622,DB08868,5,DB00560$h
328,DB00334,DB08865,75,DB00027$t
329,DB00176,DB01263,5,DB00679$t
330,DB00346,DB00983,41,DB13450$h
331,DB00477,DB01353,25,DB04572$t
332,DB00999,DB09070,66,DB02300$t
333,DB00215,DB05294,31,DB11641$t
334,DB09216,DB13167,25,DB09027$h
335,DB01264,DB00862,9,DB06262$t
336,DB09048,DB01182,9,DB00621$t
337,DB00257,DB11574,5,DB00672$h
338,DB00214,DB01029,25,DB00514$h
339,DB06595,DB00295,5,DB00493$h
340,DB06201,DB00807,25,DB11609$h
341,DB06290,DB00924,9,DB09265$t
342,DB01355,DB00275,66,DB00806$t
343,DB00321,DB01394,9,DB00424$t
344,DB00622,DB00361,5,DB06774$h
345,DB01241,DB00321,5,DB12070$h
346,DB09063,DB00997,9,DB05015$h
347,DB00854,DB01104,78,DB01621$h
348,DB01263,DB06605,9,DB11136$t
349,DB01015,DB00537,75,DB06663$t
350,DB01595,DB05246,25,DB00646$h
351,DB00091,DB00307,5,DB01141$h
352,DB00254,DB00615,5,DB01057$t
353,DB09320,DB00266,45,DB00556$h
354,DB00715,DB00373,5,DB00636$h
355,DB01057,DB00940,12,DB00912$h
356,DB00375,DB00870,0,DB00080$h
357,DB00390,DB06603,16,DB00256$h
358,DB09166,DB00423,25,DB00233$t
359,DB06802,DB00502,25,DB01390$h
360,DB00807,DB09286,25,DB00698$h
361,DB00745,DB00514,5,DB01019$h
362,DB01072,DB00860,9,DB09031$t
363,DB09292,DB01250,25,DB09067$h
364,DB00215,DB06217,5,DB06267$h
365,DB09091,DB01208,25,DB06739$h
366,DB00349,DB09053,5,DB05260$t
367,DB01069,DB01063,25,DB00398$t
368,DB00285,DB01366,80,DB01106$h
369,DB00390,DB01217,16,DB00175$h
370,DB13783,DB00436,12,DB01202$t
371,DB00698,DB01059,12,DB00240$t
372,DB06603,DB00675,11,DB00520$h
373,DB00845,DB09270,9,DB00672$h
374,DB09300,DB00802,25,DB00362$t
375,DB00188,DB01104,5,DB00233$h
376,DB00153,DB01092,49,DB00882$t
377,DB09118,DB02187,9,DB01685$t
378,DB03754,DB00477,0,DB00204$h
379,DB01192,DB01171,25,DB06589$h
380,DB01390,DB00244,12,DB01068$t
381,DB00589,DB01115,25,DB01384$h
382,DB00356,DB00370,53,DB00783$h
383,DB06723,DB08864,8,DB06723$t
384,DB00188,DB04920,5,DB01219$h
385,DB00477,DB00829,25,DB00916$t
386,DB00477,DB00722,25,DB09125$h
387,DB06739,DB00278,45,DB00652$t
388,DB00648,DB01072,8,DB00826$h
389,DB00752,DB00589,5,DB01370$h
390,DB00346,DB00743,75,DB01058$h
391,DB01623,DB00405,25,DB09061$t
392,DB01685,DB01424,5,DB01016$h
393,DB00961,DB04844,25,DB09146$t
394,DB06636,DB00324,5,DB09256$t
395,DB09053,DB04898,25,DB06288$h
396,DB09063,DB00705,9,DB01338$h
397,DB01104,DB00914,5,DB00504$t
398,DB06210,DB08930,9,DB01205$t
399,DB00924,DB00215,25,DB08801$t
400,DB00784,DB00846,25,DB08967$h
401,DB00557,DB01545,53,DB00550$h
402,DB01104,DB00475,5,DB01357$h
403,DB00211,DB09352,25,DB00783$t
404,DB01351,DB00434,25,DB08889$t
405,DB05521,DB05812,5,DB00674$h
406,DB00091,DB01621,5,DB01619$h
407,DB00284,DB01124,63,DB01345$h
408,DB00454,DB00949,25,DB00196$t
409,DB00356,DB00268,77,DB06767$t
410,DB00768,DB00452,14,DB00679$t
411,DB01435,DB00006,45,DB09091$t
412,DB09063,DB01708,9,DB01147$t
413,DB13783,DB00596,25,DB03619$t
414,DB00404,DB01002,25,DB00894$h
415,DB12332,DB00295,5,DB00222$h
416,DB00177,DB00328,5,DB09292$h
417,DB01264,DB00294,8,DB00201$h
418,DB00396,DB00222,12,DB00240$t
419,DB01401,DB08964,12,DB08882$t
420,DB06216,DB01353,25,DB01348$t
421,DB00949,DB06216,75,DB01017$h
422,DB00333,DB00774,25,DB00446$t
423,DB01324,DB11348,14,DB11231$h
424,DB01012,DB00997,9,DB00235$h
425,DB01580,DB01403,53,DB08799$h
426,DB00741,DB08909,12,DB01080$t
427,DB02546,DB00284,12,DB00571$h
428,DB00864,DB00175,9,DB00569$h
429,DB09124,DB00266,12,DB06699$h
430,DB01254,DB08931,9,DB09027$h
431,DB06594,DB04953,25,DB00723$t
432,DB00196,DB12161,5,DB09124$h
433,DB01014,DB00880,12,DB00398$t
434,DB00594,DB01144,25,DB01202$t
435,DB00712,DB06813,9,DB00966$h
436,DB00435,DB00542,25,DB00358$t
437,DB00559,DB09082,8,DB00652$h
438,DB04896,DB00206,25,DB00214$t
439,DB06603,DB00281,9,DB01247$h
440,DB04840,DB01193,66,DB05039$t
441,DB00661,DB09053,9,DB00865$t
442,DB02701,DB01076,25,DB11156$h
443,DB09085,DB09166,25,DB09286$h
444,DB09285,DB09288,25,DB09269$t
445,DB00834,DB01253,9,DB01243$h
446,DB09216,DB00959,25,DB09256$h
447,DB00211,DB00852,25,DB09167$t
448,DB01576,DB00354,39,DB06145$t
449,DB00283,DB01015,5,DB00245$h
450,DB01615,DB01403,53,DB08882$t
451,DB04839,DB01544,8,DB08895$h
452,DB01351,DB00489,66,DB01184$t
453,DB09345,DB00283,25,DB00529$h
454,DB00683,DB01437,25,DB09324$h
455,DB00320,DB09555,5,DB00911$h
456,DB01229,DB00537,25,DB00448$h
457,DB04896,DB06704,12,DB01050$t
458,DB00673,DB00518,9,DB00790$t
459,DB13878,DB01030,9,DB01331$t
460,DB00875,DB01463,25,DB01226$t
461,DB01144,DB01043,14,DB05294$h
462,DB01149,DB01588,5,DB09146$h
463,DB00788,DB00487,71,DB09095$t
464,DB00283,DB01396,5,DB00495$h
465,DB00794,DB01104,6,DB06204$h
466,DB00208,DB00475,5,DB00595$h
467,DB09292,DB03585,25,DB04953$t
468,DB00211,DB06704,12,DB01359$h
469,DB00688,DB00873,25,DB01327$t
470,DB01400,DB01062,12,DB00970$h
471,DB05219,DB00946,5,DB01012$h
472,DB01168,DB09235,66,DB00570$t
473,DB01104,DB04938,5,DB00875$t
474,DB00696,DB00449,61,DB00658$h
475,DB09048,DB00959,9,DB00909$h
476,DB00721,DB13872,25,DB08802$h
477,DB01037,DB00195,66,DB01100$h
478,DB01400,DB00986,12,DB00465$t
479,DB13158,DB00779,25,DB00222$h
480,DB00857,DB00988,5,DB00631$h
481,DB00813,DB01580,25,DB06736$t
482,DB09238,DB00829,5,DB06767$h
483,DB00346,DB00692,66,DB06813$t
484,DB05219,DB00307,5,DB01208$h
485,DB00270,DB00947,5,DB06791$h
486,DB00674,DB06589,75,DB06282$h
487,DB00484,DB00985,53,DB00206$h
488,DB00544,DB00214,5,DB00134$h
489,DB01142,DB01202,25,DB08814$t
490,DB01601,DB01216,5,DB01466$h
491,DB01623,DB01202,25,DB00953$t
492,DB00208,DB08865,5,DB04841$h
493,DB01072,DB01466,5,DB01005$h
494,DB00468,DB00396,5,DB04575$h
495,DB00409,DB13025,25,DB13179$h
496,DB00622,DB00188,5,DB01262$h
497,DB05521,DB00850,5,DB00923$h
498,DB01250,DB00864,20,DB01401$t
499,DB11619,DB00278,12,DB01604$h
500,DB00483,DB12278,25,DB00006$h
501,DB00503,DB08907,8,DB00181$h
502,DB00212,DB01180,66,DB06216$h
503,DB00681,DB00528,25,DB00661$h
504,DB01132,DB06335,8,DB00494$h
505,DB01198,DB09009,25,DB00322$h
506,DB00625,DB00568,8,DB00950$t
507,DB01078,DB00380,16,DB09292$h
508,DB00939,DB01009,25,DB00389$t
509,DB01592,DB00166,0,DB06713$h
510,DB00915,DB00850,12,DB00981$t
511,DB00646,DB00425,9,DB00606$t
512,DB00981,DB00804,12,DB01136$h
513,DB00675,DB00539,75,DB00854$t
514,DB00988,DB06704,12,DB01106$t
515,DB00798,DB00390,8,DB00808$h
516,DB00559,DB00495,8,DB00753$h
517,DB07615,DB00770,12,DB01048$t
518,DB00790,DB01356,9,DB06267$h
519,DB00243,DB00482,5,DB01357$h
520,DB00582,DB01200,5,DB01340$h
521,DB01601,DB06155,5,DB00198$h
522,DB00252,DB01393,6,DB01057$h
523,DB00921,DB00310,25,DB01218$h
524,DB01151,DB00203,5,DB11126$h
525,DB00768,DB03585,25,DB01188$t
526,DB08899,DB09297,8,DB06794$t
527,DB08877,DB00521,51,DB11641$t
528,DB00976,DB00938,5,DB05260$h
529,DB00794,DB00216,6,DB00366$h
530,DB04951,DB08797,25,DB09462$h
531,DB00921,DB00035,25,DB00591$h
532,DB00454,DB01615,25,DB09198$h
533,DB00653,DB00268,77,DB00614$t
534,DB00684,DB00390,8,DB09290$h
535,DB01254,DB04572,9,DB00548$h
536,DB01211,DB01588,5,DB09048$t
537,DB00418,DB01184,6,DB00658$h
538,DB01174,DB00521,66,DB06774$h
539,DB00737,DB00949,25,DB03756$h
540,DB01263,DB06207,9,DB00692$t
541,DB01356,DB11156,72,DB09244$h
542,DB08816,DB08439,5,DB00562$t
543,DB08439,DB06696,14,DB11730$t
544,DB00881,DB04743,25,DB04845$t
545,DB00774,DB01020,25,DB01065$t
546,DB00623,DB00321,25,DB08795$t
547,DB09147,DB08930,8,DB00318$t
548,DB01045,DB04861,8,DB08883$h
549,DB01097,DB06810,14,DB00354$h
550,DB00648,DB09570,8,DB00178$h
