,smiles,tox
0,*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC,0
1,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,0
2,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],0
3,[H]/[NH+]=C(\N)C1=CC(=O)/C(=C\C=c2ccc(=C(N)[NH3+])cc2)C=C1,0
4,[H]/[NH+]=C(\N)c1ccc(OCCCCCOc2ccc(/C(N)=[NH+]/[H])cc2)cc1,0
5,O=[N+]([O-])[O-],0
6,O=[99Tc](=O)(=O)[O-],0
7,O=P([O-])([O-])F,0
8,O=S(=O)([O-])[O-],0
9,O=S([O-])([O-])=S,0
10,[Se],1
11,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0
12,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1
13,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,1
14,C#CC[NH2+][C@@H]1CCc2ccccc21,0
15,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,0
16,C#N,0
17,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,0
18,[NH3+][C@@H](CS)C(=O)[O-],0
19,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0
20,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,0
21,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0
22,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
23,O=C[C@H](O)[C@@H](O)[C@H](O)CO,0
24,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
25,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
26,O=C([O-])C(O)C(O)C(=O)[O-],0
27,O=C([O-])C(S)C(S)C(=O)[O-],0
28,O=P([O-])([O-])OCC(Cl)(Cl)Cl,0
29,[NH3+]C(CO)(CO)CO,0
30,OCC(O)CO,0
31,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0
32,OCC(S)CS,0
33,FC(F)(F)C(F)(F)C(F)(F)F,0
34,FC(F)(F)C(Cl)Br,0
35,FC(F)=C(F)F,0
36,[NH3+]CC(=O)[O-],0
37,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],0
38,NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-],0
39,[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],0
40,[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-],0
41,[NH3+]CCCC([NH3+])(C(=O)[O-])C(F)F,0
42,[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],0
43,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],0
44,O=C([O-])CCCCCCCC(=O)[O-],0
45,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],0
46,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,0
47,[NH3+]CCS,0
48,O=C([O-])[O-],0
49,NC(N)=O,0
50,NC(=O)NO,0
51,FCOC(C(F)(F)F)C(F)(F)F,0
52,C/[NH+]=C1/CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1,0
53,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,0
54,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,0
55,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,0
