,smiles,ld50
0,[O-][N+](=Nc1ccccc1)c1ccccc1,2.505
1,BrC(Br)Br,2.343
2,C=CBr,2.33
3,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465
4,S=C=Nc1ccc(Br)cc1,2.729
5,O=c1[nH]c2ccc(Br)cc2o1,2.33
6,Brc1ccccc1,1.765
7,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.21
8,Brc1nc(Br)c(Br)[nH]1,3.952
9,BrCBr,3.207
10,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,2.839
11,BrCC=CCBr,3.455
12,BrCCBr,3.24
13,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.209
14,C#CCCCC#C,1.6030000000000002
15,C#CCOCC#C,2.242
16,C(CC1CO1)OCCC1CO1,2.17
17,C(CCC1CO1)CC1CO1,2.124
18,c1ccc(COCc2ccccc2)cc1,1.899
19,C(OCC1CO1)C1CO1,2.461
20,C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,1.961
21,C[Si](Cl)(Cl)CCCC#N,1.809
22,C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,1.968
23,C=C1CC(=O)O1,2.176
24,C=CC#N,2.833
25,C=CC(=O)NCNC(=O)C=C,2.597
26,C=CC(=O)OC1CC2CCC1C2,1.4680000000000002
27,C=CC(=O)OCC1CO1,2.785
28,C=CC(=O)OCCC#N,2.842
29,C=CC(=O)OCCOC(=O)C=C,2.754
30,C=CC(=O)OCCOc1ccccc1,1.569
31,C=CC(=O)OCCOCCC#N,2.1790000000000003
32,C=CC(=O)OCCOCCOC(=O)C=C,2.729
33,C=CC=C,0.994
34,C=CC=CC=C,2.582
35,C=CC=NNc1ccccc1,2.32
36,C=CC=O,3.0860000000000003
37,C=Cc1ccccc1,1.319
38,C=Cc1ccccn1,3.022
39,C=Cc1ccncc1,3.022
40,C=CC1CC2C=CC1C2,1.44
41,C=CC1CCC(C=C)OC1,1.75
42,C=CC1CC=CCC1,1.625
43,C=CC1CCC2OC2C1,1.793
44,C=CC1OCC2(CO1)COC(C=C)OC2,1.7180000000000002
45,C=CCC#N,2.766
46,C=CCc1ccc2c(c1)OCO2,1.92
47,C=CCc1cccc(CC=C)c1OCC1CO1,1.71
48,C=CCC1CC(=O)OC1=O,2.117
49,C=CCCC=O,2.132
50,C=CCN(CC=C)CC=C,2.125
51,C=CCN(CC=C)N=O,2.198
52,C=CCN=C=S,2.947
53,C=CCNCC=C,2.226
54,C=CCOC(=O)C=CC(=O)OCC=C,2.8160000000000003
55,C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.505
56,C=CCOC(=O)Cc1ccccc1,2.4330000000000003
57,C=CCOC(=O)CC1CCCCC1,2.306
58,C=CCOC(=O)CCC1CCCCC1,2.526
59,C=CCOC(OCC=C)C(OCC=C)OCC=C,2.256
60,C=CCOC=C,2.185
61,C=CCOC=O,2.842
62,C=CCOc1ccccc1C(=O)NC1CCCCC1,2.335
63,C=CCOC1CC2CC1CC2OCC=C,1.747
64,C=CCOCC=C,2.487
65,C=CCOCCC#N,1.932
66,C=CN1CC1,2.895
67,C=CN1CCCC1=O,1.879
68,C=COC(=O)c1ccccc1,1.659
69,C=COC=O,1.4069999999999998
70,C=COCCOCCOC=C,1.6269999999999998
71,C=CS(=O)(=O)C=C,3.567
72,C=O,1.574
73,c1cc(-c2ccncc2)ccn1,2.958
74,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2.327
75,c1ccc(-c2ccccc2)cc1,1.808
76,c1ccc(N=Nc2ccccc2)cc1,2.261
77,c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.574
78,c1ccc(-c2ccccn2)nc1,3.194
79,c1ccc2cnccc2c1,2.555
80,c1ccccc1,1.3730000000000002
81,c1ccncc1,1.948
82,c1ccc2c(c1)-c1cccc3cccc-2c13,2.005
83,c1ccc2ncccc2c1,2.591
84,c1cc2ccc3cccc4ccc(c1)c2c34,1.875
85,c1ccc2ccccc2c1,2.418
86,C1=CC=CCC=C1,3.209
87,C1=CC2C3C=CC(C3)C2C1,2.573
88,C1=CCC2CC=CC2C1,1.508
89,C1=CC2C=CC1C2,2.015
90,C1C2CC3OC3C2CC2OC12,1.852
91,C1C2OC2C2C1C1CC2C2OC12,2.893
92,C1=CCC(C2CC3C=CC2C3)CC1,1.609
93,C1=CCCC1,1.614
94,C1CC2CC1C1SSSC21,2.802
95,C1CC2CC1CC2CNCC1CC2CCC1C2,2.219
96,C1CC2OC2C1OC1CCC2OC12,1.93
97,C1CC2OC2CC1C1CO1,1.818
98,C1CCC(OC2CCCC2)C1,2.516
99,c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,2.124
100,C1CCC(NC2CCCCC2)CC1,2.687
101,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,2.276
102,c1ccc2c(c1)CCCC2,1.665
103,C1CCC2CCCCC2C1,1.521
104,C1CCC2OC2C1,1.954
105,C1CCCCC1,0.821
106,C1CCCNCC1,2.384
107,C1CCN2CC3CC(CN4CCCCC34)C2C1,2.388
108,C1CCc2nnnn2CC1,2.994
109,C1CCNCC1,2.3280000000000003
110,C1CCOC1,1.408
111,c1ccc(N2CCNCC2)cc1,2.888
112,c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,3.599
113,c1ccc(N2CCOCC2)cc1,2.244
114,c1ccc2sc(SN3CCOCC3)nc2c1,2.105
115,c1cncc(C2=NCCC2)c1,1.892
116,C1CN1,3.458
117,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.31
118,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,3.119
119,C1CNCCN1,1.656
120,C1CNCCNC1,1.5490000000000002
121,C1CO1,2.787
122,C1COC(OCC2CO2)C(OCC2CO2)O1,2.337
123,C1COCCN1,1.919
124,C1COCCOCCOCCO1,1.794
125,C1COCCOCCOCCOCCO1,2.194
126,C1COCCOCCOCCOCCOCCO1,2.279
127,C1COCO1,1.393
128,C1CS1,2.529
129,C1CSCCO1,1.5659999999999998
130,c1cc2c(cc1C1CO1)O2,1.676
131,c1ccc(C2CO2)cc1,1.779
132,C1OC1C1CO1,3.043
133,c1cc(CC2CO2)cc(CC2CO2)c1,1.6569999999999998
134,c1ccc(N(CC2CO2)CC2CO2)cc1,2.103
135,c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1,2.209
136,c1cc(OCC2CO2)cc(OCC2CO2)c1,1.937
137,c1ccc2c(c1)OCO2,2.323
138,CBr,2.647
139,CC#N,1.177
140,C=C(C)C#N,2.747
141,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.107
142,C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,1.536
143,C=CCOC(=O)C(=C)C,2.467
144,C=C(C)C(=O)OCC1CO1,2.377
145,C=C(C)C(=O)OCCCl,2.8710000000000004
146,C=C(C)C(C)=O,2.67
147,C=C(C)C(OC(C)=O)OC(C)=O,2.593
148,C=C(C)c1ccccc1,1.382
149,C=C(C)C1CC=C(C)C(=O)C1,4.607
150,C=C(C)C1CC=C(C)C(O)C1,1.705
151,C=C(C)C1CC=C(C)CC1,1.491
152,C=C(C)C1CC=C(CO)CC1,1.86
153,C=C(C)CC#N,2.177
154,C=C(C)OC(C)=O,1.523
155,CC(=CC(=O)O)C(=O)O,1.994
156,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,5.006
157,CC(=O)C(C)(C)C,2.215
